Farm_ID,Date,NDVI,crop label,ground truth month
T006,19-11-2023,0.1455607,Tomato,01-12-2023
T006,20-10-2023,0.17077176,Tomato,01-12-2023
T006,21-08-2023,0.12771392,Tomato,01-12-2023
T006,22-02-2024,0.3529412,Tomato,01-12-2023
T006,22-04-2024,0.15606937,Tomato,01-12-2023
T006,23-01-2024,0.7518509,Tomato,01-12-2023
T006,23-03-2024,0.2860433,Tomato,01-12-2023
T006,24-12-2023,0.75898933,Tomato,01-12-2023
T006,25-10-2023,0.11004785,Tomato,01-12-2023
T006,27-02-2024,0.11907811,Tomato,01-12-2023
T006,27-04-2024,0.14325842,Tomato,01-12-2023
T006,28-03-2024,0.25431323,Tomato,01-12-2023
T006,29-12-2023,0.71688575,Tomato,01-12-2023
T007,02-02-2024,0.5472028,Tomato,01-12-2023
T007,02-04-2024,0.45270935,Tomato,01-12-2023
T007,02-05-2024,0.18816389,Tomato,01-12-2023
T007,02-06-2023,0.38034743,Tomato,01-12-2023
T007,03-03-2024,0.5415755,Tomato,01-12-2023
T007,05-10-2023,0.35699934,Tomato,01-12-2023
T007,06-08-2023,0.0832618,Tomato,01-12-2023
T007,07-02-2024,0.7934662,Tomato,01-12-2023
T007,07-04-2024,0.41522652,Tomato,01-12-2023
T007,08-03-2024,0.52538747,Tomato,01-12-2023
T007,10-10-2023,0.18299536,Tomato,01-12-2023
T007,12-02-2024,0.72944015,Tomato,01-12-2023
T007,12-04-2024,0.037865944,Tomato,01-12-2023
T007,12-06-2023,0.23358192,Tomato,01-12-2023
T007,13-03-2024,0.42670682,Tomato,01-12-2023
T007,15-10-2023,0.16460742,Tomato,01-12-2023
T007,16-08-2023,0.15073815,Tomato,01-12-2023
T007,17-02-2024,0.747851,Tomato,01-12-2023
T007,18-01-2024,0.7314554,Tomato,01-12-2023
T007,18-03-2024,0.48878923,Tomato,01-12-2023
T007,19-11-2023,0.17116451,Tomato,01-12-2023
T007,20-10-2023,0.18615857,Tomato,01-12-2023
T007,21-08-2023,0.11892797,Tomato,01-12-2023
T007,22-02-2024,0.43140167,Tomato,01-12-2023
T007,22-04-2024,0.23468208,Tomato,01-12-2023
T007,23-01-2024,0.8118669,Tomato,01-12-2023
T007,23-03-2024,0.5252879,Tomato,01-12-2023
T007,24-12-2023,0.7929423,Tomato,01-12-2023
T007,25-10-2023,0.089649715,Tomato,01-12-2023
T007,27-02-2024,0.006230529,Tomato,01-12-2023
T007,27-04-2024,0.20821114,Tomato,01-12-2023
T007,28-03-2024,0.5138712,Tomato,01-12-2023
T007,29-12-2023,0.77388656,Tomato,01-12-2023
T008,02-02-2024,0.23262031,Tomato,01-12-2023
T008,02-04-2024,0.51815766,Tomato,01-12-2023
T008,02-05-2024,0.17710944,Tomato,01-12-2023
T008,02-06-2023,0.2719766,Tomato,01-12-2023
T008,03-03-2024,0.57436156,Tomato,01-12-2023
T008,05-10-2023,0.31652662,Tomato,01-12-2023
T008,06-08-2023,0.12,Tomato,01-12-2023
T008,07-02-2024,0.37732223,Tomato,01-12-2023
T008,07-04-2024,0.521414,Tomato,01-12-2023
T008,08-03-2024,0.5968024,Tomato,01-12-2023
T008,10-10-2023,0.27626458,Tomato,01-12-2023
T008,12-02-2024,0.4031232,Tomato,01-12-2023
T008,12-04-2024,0.06684888,Tomato,01-12-2023
T008,12-06-2023,0.20900321,Tomato,01-12-2023
T008,13-03-2024,0.50285715,Tomato,01-12-2023
T008,15-10-2023,0.3720448,Tomato,01-12-2023
T008,16-08-2023,0.16936104,Tomato,01-12-2023
T008,17-02-2024,0.45168296,Tomato,01-12-2023
T008,18-01-2024,0.34615386,Tomato,01-12-2023
T008,18-03-2024,0.5469534,Tomato,01-12-2023
T008,19-11-2023,0.3915618,Tomato,01-12-2023
T008,20-10-2023,0.44474393,Tomato,01-12-2023
T008,21-08-2023,0.10782241,Tomato,01-12-2023
T008,22-02-2024,0.4237805,Tomato,01-12-2023
T008,22-04-2024,0.4308137,Tomato,01-12-2023
T008,23-01-2024,0.32084894,Tomato,01-12-2023
T008,23-03-2024,0.5606964,Tomato,01-12-2023
T008,24-12-2023,0.31333333,Tomato,01-12-2023
T008,25-10-2023,0.43092406,Tomato,01-12-2023
T008,27-02-2024,0.36302295,Tomato,01-12-2023
T008,27-04-2024,0.2252,Tomato,01-12-2023
T008,28-03-2024,0.512334,Tomato,01-12-2023
T008,29-12-2023,0.3018746,Tomato,01-12-2023
T009,02-02-2024,0.28629443,Tomato,01-12-2023
T009,02-04-2024,0.56311697,Tomato,01-12-2023
T009,02-05-2024,0.16746412,Tomato,01-12-2023
T009,02-06-2023,0.45061728,Tomato,01-12-2023
T009,03-03-2024,0.61849713,Tomato,01-12-2023
T009,05-10-2023,0.2983596,Tomato,01-12-2023
T009,06-08-2023,0.10297811,Tomato,01-12-2023
T009,07-02-2024,0.3757094,Tomato,01-12-2023
T009,07-04-2024,0.5819895,Tomato,01-12-2023
T009,08-03-2024,0.6544552,Tomato,01-12-2023
T009,10-10-2023,0.2100955,Tomato,01-12-2023
T009,12-02-2024,0.39455095,Tomato,01-12-2023
T009,12-04-2024,0.12353608,Tomato,01-12-2023
T009,12-06-2023,0.28042328,Tomato,01-12-2023
T009,13-03-2024,0.56962025,Tomato,01-12-2023
T009,15-10-2023,0.33606556,Tomato,01-12-2023
T009,16-08-2023,0.24059437,Tomato,01-12-2023
T009,17-02-2024,0.44997382,Tomato,01-12-2023
T009,18-01-2024,0.32208923,Tomato,01-12-2023
T009,18-03-2024,0.6246099,Tomato,01-12-2023
T009,19-11-2023,0.38243285,Tomato,01-12-2023
T009,20-10-2023,0.40231937,Tomato,01-12-2023
T009,21-08-2023,0.10897744,Tomato,01-12-2023
T009,22-02-2024,0.40443808,Tomato,01-12-2023
T009,22-04-2024,0.52701646,Tomato,01-12-2023
T009,23-01-2024,0.32620922,Tomato,01-12-2023
T009,23-03-2024,0.6282107,Tomato,01-12-2023
T009,24-12-2023,0.27055305,Tomato,01-12-2023
T009,25-10-2023,0.4092715,Tomato,01-12-2023
T009,27-02-2024,0.10074319,Tomato,01-12-2023
T009,27-04-2024,0.3713851,Tomato,01-12-2023
T009,28-03-2024,0.60291517,Tomato,01-12-2023
T009,29-12-2023,0.25707814,Tomato,01-12-2023
T010,01-03-2026,0.8908484,Tomato,01-11-2025
T010,01-11-2025,0.6155228,Tomato,01-11-2025
T010,01-12-2025,0.52219874,Tomato,01-11-2025
T010,03-11-2025,0.60291195,Tomato,01-11-2025
T010,04-02-2026,0.80255234,Tomato,01-11-2025
T010,05-01-2026,0.43501484,Tomato,01-11-2025
T010,05-04-2026,0.23522459,Tomato,01-11-2025
T010,05-05-2025,0.85897803,Tomato,01-11-2025
T010,06-03-2026,0.8604103,Tomato,01-11-2025
T010,06-11-2025,0.53817505,Tomato,01-11-2025
T010,06-12-2025,0.5457454,Tomato,01-11-2025
T010,09-02-2026,0.9136271,Tomato,01-11-2025
T010,09-06-2025,0.2158516,Tomato,01-11-2025
T010,10-01-2026,0.45814583,Tomato,01-11-2025
T010,10-04-2026,0.18897638,Tomato,01-11-2025
